time,open,high,low,close
2026-03-11 16:00,5167.25,5196.2,5148.33,5175.04
2026-03-11 20:00,5175.36,5183.38,5153.79,5176.07
2026-03-12 00:00,5177.95,5178.2,5124.99,5152.53
2026-03-12 04:00,5152.53,5175.07,5140.03,5142.45
2026-03-12 08:00,5142.44,5189.87,5136.85,5177.91
2026-03-12 12:00,5177.9,5191.56,5163.1,5181.04
2026-03-12 16:00,5181.03,5186.08,5109.54,5123.03
2026-03-12 20:00,5123.05,5129.38,5054.31,5080.7
2026-03-13 00:00,5083.43,5115.16,5078.66,5113.27
2026-03-13 04:00,5113.59,5128.48,5102.15,5104.14
2026-03-13 08:00,5104.13,5110.84,5060.62,5086.9
2026-03-13 12:00,5086.87,5121.67,5079.74,5117.77
2026-03-13 16:00,5118.09,5121.12,5018.18,5045.83
2026-03-13 20:00,5045.83,5063.97,5009.09,5018.5
2026-03-16 00:00,5015.1,5030.94,4967.18,5025.27
2026-03-16 04:00,5025.28,5026.42,4982.42,5012.47
2026-03-16 08:00,5012.44,5035.88,4991.46,4997.36
2026-03-16 12:00,4990.26,5025.32,4969.44,5019.71
2026-03-16 16:00,5019.71,5038.18,4973.47,4990.4
2026-03-16 20:00,4990.4,5021.45,4983.41,5009.05
2026-03-17 00:00,5010.88,5015.91,4997.7,5002.39
2026-03-17 04:00,5002.39,5042.16,4993.94,5037.41
2026-03-17 08:00,5037.42,5044.18,5004.38,5024.19
2026-03-17 12:00,5024.21,5025.66,4991.32,5011.21
2026-03-17 16:00,5011.21,5031.37,4972.89,5001.68
2026-03-17 20:00,5001.69,5008.91,4995.88,5002.93
2026-03-18 00:00,5001.05,5012.38,4992.97,5003.79
2026-03-18 04:00,5003.79,5015.76,4981.15,4986.73
2026-03-18 08:00,4986.71,5016.45,4976.86,4987.65
2026-03-18 12:00,4987.64,4995.33,4870.43,4881.06
2026-03-18 16:00,4881.04,4894.54,4833.94,4886.49
2026-03-18 20:00,4886.49,4899.23,4806.33,4825.33
2026-03-19 00:00,4825.41,4848.58,4804.13,4841.04
2026-03-19 04:00,4841.04,4866.92,4832.36,4849.82
2026-03-19 08:00,4849.82,4853.91,4686.13,4708.79
2026-03-19 12:00,4708.79,4725.62,4530.99,4573.93
2026-03-19 16:00,4573.93,4649.13,4502.28,4584.69
2026-03-19 20:00,4584.69,4663.26,4573.4,4657.58
2026-03-20 00:00,4659.23,4677.01,4633.71,4648.31
2026-03-20 04:00,4648.29,4735.83,4639.1,4721.1
2026-03-20 08:00,4721.1,4734.6,4660.98,4693.54
2026-03-20 12:00,4693.55,4700.19,4636.8,4678.32
2026-03-20 16:00,4678.32,4679.63,4540.05,4582.86
2026-03-20 20:00,4582.85,4600.77,4476.98,4497.27
2026-03-23 00:00,4474.83,4536.14,4319.32,4354.1
2026-03-23 04:00,4354.1,4454.25,4329.9,4367.37
